"id","name","latitude","longitude","property_type","room_type","price","accommodates","bedrooms","beds","bathrooms","shared_bathroom","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","Kitchen","Wifi","Air_conditioning","Elevator","Dishes_and_silverware","Washer","Body_soap","Microwave","Paid_parking_off_premises","total_amenities","short_term_availability","long_term_availability","years","host_id","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_identity_verified"
43221047,"Espectacular departamento! 5 habitaciones en suite",-34.61715,-58.38868,"Entire rental unit","Entire home/apt",8076,5,5,5,5.5,"No",30,1125,1,4,4,4,4,5,5,5,"FALSE","1","1","1","0","1","1","0","0","0",5,"0","1",13.4986301369863,52100,"within a day",0.71,0.5,"FALSE","TRUE"
43025674,"Lujoso Centro de Buenos Aires",-34.60909,-58.37422,"Entire rental unit","Entire home/apt",8283,4,1,2,1,"No",2,1125,21,4.9,4.9,4.81,4.95,4.95,4.9,4.9,"TRUE","1","1","0","1","1","1","1","1","0",7,"0","0",8.00547945205479,32703829,"within an hour",1,0.92,"TRUE","TRUE"
43053302,"En el corazón de buenos aires",-34.61237,-58.38391,"Entire rental unit","Entire home/apt",3517,2,1,1,1,"No",5,1125,3,5,5,5,4.67,4.67,4.67,5,"TRUE","1","1","1","1","1","0","1","1","0",7,"0","0",5.94794520547945,131925449,"within an hour",1,0.57,"FALSE","TRUE"
45615759,"Habitación doble o individual lista para ingresar",-34.61188,-58.38511,"Private room in serviced apartment","Private room",4000,2,1,2,4.5,"Yes",5,30,1,3,3,3,4,3,4,3,"FALSE","1","1","0","0","1","1","0","1","0",5,"1","0",4.66575342465753,213731197,"a few days or more",0,0.75,"FALSE","TRUE"
45078126,"Cozy apartment. San Telmo Histórico Best Place.",-34.61533,-58.37395,"Entire rental unit","Entire home/apt",9318,3,2,2,1,"No",4,1125,18,4.67,4.78,4.39,5,5,4.56,4.67,"FALSE","1","0","0","1","1","1","0","1","0",5,"0","1",8.33150684931507,25694574,"within an hour",1,0.84,"TRUE","TRUE"
45192257,"Excellent Location-Spacious-Comfortable.",-34.61645,-58.38054,"Entire condo","Entire home/apt",6804,3,1,3,1,"No",3,1125,69,4.91,4.96,4.88,4.99,4.94,4.93,4.87,"FALSE","1","1","0","1","1","0","0","1","0",5,"0","1",7.37260273972603,52026263,"within an hour",1,1,"TRUE","FALSE"
44675274,"Hermoso estudio en el corazón de Buenos Aires",-34.61202,-58.38727,"Entire rental unit","Entire home/apt",8000,2,1,3,1,"No",6,1125,1,5,5,5,5,5,5,5,"FALSE","1","1","1","0","0","0","0","0","0",3,"1","1",5.22739726027397,173058936,"within a day",0.5,0,"FALSE","TRUE"
45506855,"Acogedor departamento zona Monserrat / Congreso",-34.61271,-58.38718,"Entire serviced apartment","Entire home/apt",7000,6,4,5,2,"No",15,1125,4,4,4.25,4.25,4.75,4.5,5,4,"FALSE","1","1","1","1","0","1","0","0","0",5,"0","0",3.76986301369863,280434561,"within a day",1,0.56,"FALSE","FALSE"
46605360,"Departamento de estilo en el corazón de la ciudad.",-34.61261,-58.37928,"Entire rental unit","Entire home/apt",12217,4,2,3,1,"No",4,1125,14,4.71,4.79,4.64,4.93,4.93,4.93,4.71,"TRUE","1","1","0","1","1","0","1","1","1",7,"1","1",6.84931506849315,80947197,"within an hour",1,1,"TRUE","TRUE"
46545291,"Excelente Departamento en San Telmo!",-34.61655,-58.37949,"Entire rental unit","Entire home/apt",4142,3,1,1,1,"No",40,1125,3,5,5,5,5,5,5,5,"TRUE","1","1","1","0","0","1","0","0","0",4,"0","1",4.76986301369863,205920092,"within an hour",0.96,1,"FALSE","TRUE"
